id,name,price,brand,category,screen_size,screen_tech,screen_resolution,screen_frequency,power_consumption,ports,rating,reviews_count,url,created_at,updated_at
339092,Màn hình SingPC P22F100-IPS 21.5 inch FHD/IPS/100Hz/5ms,1290000,SingPC,Screen,21.5 inch,IPS,Full HD (1920 x 1080),100 Hz,36W,1 x HDMI,4.9,265,https://www.thegioididong.com/man-hinh-may-tinh/singpc-p22f100-ips-21-5-inch-fhd-ips-100hz-5ms,2025,2025-09-01 23:34:43
335640,Màn hình Dell E2725H 27 inch FHD/VA/60Hz/5ms,3590000,Dell,Screen,27 inch,VA,Full HD (1920 x 1080),60 Hz,30W,1 x DisplayPort 1.2 (HDCP 1.4) (hỗ trợ lên đến FHD 1920 x 1080 75 Hz),5.0,44,https://www.thegioididong.com/man-hinh-may-tinh/dell-e2725h-27-inch-fhd-va-60hz-5ms,2024,2025-09-01 23:34:46
274150,Apple Studio Display Standard 27inch Retina 5K/60Hz (MK0U3SA/A),37690000,Apple,Screen,27 inch,Hãng không công bố,5K Retina (5120 x 2880),60 Hz,Hãng không công bố,1 x Thunderbolt 3,5.0,104,https://www.thegioididong.com/man-hinh-may-tinh/apple-studio-display-27-5k-retina,2022,2025-09-01 23:34:48
324727,Màn hình Gaming Viewsonic VX2479-HD-PRO 23.8 inch FHD/IPS/180Hz/1ms,2690000,Viewsonic,Screen,23.8 inch,IPS,Full HD (1920 x 1080),180 Hz,28 W,2 x HDMI 1.4,5.0,156,https://www.thegioididong.com/man-hinh-may-tinh/viewsonic-gaming-vx2479-hd-pro-23-8-inch-fhd,2023,2025-09-01 23:34:48
342369,Màn hình Gaming Asus TUF VG279QM5A 27 inch FHD/IPS/240Hz/0.3ms,4390000,Asus,Screen,27 inch,Fast IPS,Full HD (1920 x 1080),240 Hz,18W,2 x HDMI 2.0,5.0,2,https://www.thegioididong.com/man-hinh-may-tinh/asus-gaming-tuf-27-inch-full-hd-vg279qm5a,2025,2025-09-01 23:34:49
335749,Màn hình Samsung S3 S30GD LS24D300GAEXXV 23.8 inch FHD/IPS/100Hz/1ms,2290000,Samsung,Screen,23.8 inch,IPS,Full HD (1920 x 1080),100 Hz,25W,1 x HDMI 1.4,5.0,365,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls24d300gaexxv-23-8-inch-fhd-ips-100hz-1ms,2025,2025-09-01 23:34:55
333566,Màn hình Viewsonic VA2708-2K-MHD 27 inch 2K/IPS/100Hz/1ms,3690000,Viewsonic,Screen,27 inch,IPS,QHD (2560 x 1440),100 Hz,30W,1 x DisplayPort,5.0,496,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-viewsonic-va2708-2k-mhd-27-inch-2k-ips-100hz-1ms,2024,2025-09-01 23:34:56
339094,Màn hình Gaming Asus TUF VG259Q5A 24.5 inch FHD/IPS/200Hz/1ms,3090000,Asus,Screen,24.5 inch,Fast IPS,Full HD (1920 x 1080),200 Hz,15W,2 x HDMI 2.0,5.0,66,https://www.thegioididong.com/man-hinh-may-tinh/asus-tuf-vg259q5a-24-5-inch-fhd-ips-200hz-1ms,2025,2025-09-01 23:34:59
342555,"Màn hình Dell UltraSharp U2725QE (27 inch 4K, IPS, 120Hz, 5ms)",16690000,Dell,Screen,27 inch,IPS,UHD (3840 x 2160),120 Hz,25.4 W,5 x USB 3.2 Gen 2,5.0,1,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-dell-ultrasharp-u2725qe-27-inch-4k-ips-120hz-5ms,2025,2025-09-01 23:34:59
337324,Màn hình MSI PRO MP341CQ 34 inch 3K/VA/100Hz/4ms,6490000,MSI,Screen,34 inch,VA,UWQHD (3440 x 1440),100 Hz,33W,1 x DisplayPort 1.2a,4.3,3,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp341cq-34-inch-3k-va-100hz-4ms,2025,2025-09-01 23:34:59
333733,Màn hình MSI PRO MP275 E2 27 inch FHD/IPS/120Hz/1ms,2790000,MSI,Screen,27 inch,IPS,Full HD (1920 x 1080),120 Hz,21W,1 x Line-in,4.9,635,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp275-e2-27-inch-fhd-ips-120hz-1ms,2024,2025-09-01 23:35:02
334382,Màn hình Gaming Acer Nitro KG270 X1 27 inch FHD/IPS/200Hz/4ms,3590000,Acer,Screen,27 inch,IPS,Full HD (1920 x 1080),200 Hz,21W,2 x HDMI 2.0,5.0,201,https://www.thegioididong.com/man-hinh-may-tinh/acer-nitro-kg270-x1-27-inch-fhd-ips-200hz-4ms,2024,2025-09-01 23:35:08
