id,name,onsale_price,brand,category,os,cpu,gpu,rating,reviews_count,is_new,url,retailer,created_at,updated_at
326049,"Laptop HP 245 G10 - A20TDPT (R5 7530U, 8GB, 512GB, Full HD, Win11)",12190000,HP,Laptop,Windows 11 Home SL,AMD Ryzen 5 - 7530U,Card tích hợp - AMD Radeon Graphics,4.9,5921,True,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,TGDD,2024,2025-08-27 21:51:54
339202,"Laptop Acer Aspire Lite 14 AL14 51P 35QD - NX.J84SV.001 (i3 1305U, 8GB, 512GB, Full HD+, Win11)",10790000,Acer,Laptop,Windows 11 Home SL,Intel Core i3 Raptor Lake - 1305U,Intel UHD Graphics,5.0,384,True,https://www.thegioididong.com/laptop/acer-aspire-lite-14-al14-51p-35qd-i3-nxj84sv001,TGDD,2025,2025-08-27 21:51:54
329890,Điện thoại Xiaomi 14T Pro 5G 12GB/512GB,14870000,Xiaomi,Smartphone,Xiaomi HyperOS (Android 14),,,4.9,6274,True,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-12gb-512gb,TGDD,09/2024,2025-08-27 21:51:54
335177,Điện thoại Samsung Galaxy A56 5G 8GB/128GB,9810000,Samsung,Smartphone,Android 15,,,4.9,1644,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a56-8gb-128gb,TGDD,03/2025,2025-08-27 21:51:54
328454,Điện thoại OPPO A3 8GB/128GB,5200000,OPPO,Smartphone,Android 14,,,4.9,46359,True,https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb,TGDD,08/2024,2025-08-27 21:51:54
331512,Điện thoại HONOR X7c 8GB/256GB,5400000,HONOR,Smartphone,Android 14,,,4.9,7779,True,https://www.thegioididong.com/dtdd/honor-x7c,TGDD,11/2024,2025-08-27 21:51:54
335177,Điện thoại Samsung Galaxy A56 5G 8GB/128GB,9810000,Samsung,Smartphone,Android 15,,,4.9,1644,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a56-8gb-128gb,TGDD,03/2025,2025-08-27 21:51:54
334969,Điện thoại Tecno Spark 30 8GB/128GB,3820000,Tecno,Smartphone,Android 14,,,4.9,1333,True,https://www.thegioididong.com/dtdd/tecno-spark-30,TGDD,03/2025,2025-08-27 21:51:54
339180,Điện thoại vivo Y39 5G 8GB/128GB,7360000,vivo,Smartphone,Android 15,,,4.9,7623,True,https://www.thegioididong.com/dtdd/vivo-y39-5g,TGDD,06/2025,2025-08-27 21:51:54
335174,Điện thoại Samsung Galaxy A36 5G 8GB/256GB,8830000,Samsung,Smartphone,Android 15,,,4.9,27842,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a36-8gb-256gb,TGDD,03/2025,2025-08-27 21:51:54
327254,Điện thoại vivo Y18 4GB/128GB,3820000,vivo,Smartphone,Android 14,,,4.9,13187,True,https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb,TGDD,05/2024,2025-08-27 21:51:54
339587,"Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 - 83HX0066VN (R7 AI 350, 32GB, 512GB, WUXGA OLED, Win11)",24690000,Lenovo,Laptop,Windows 11 Home SL,AMD Ryzen AI 7 - 350,Card tích hợp - AMD Radeon 860M,5.0,87,True,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14akp10-r7-ai-350-83hx0066vn,TGDD,2025,2025-08-27 21:51:54
240259,Điện thoại iPhone 14 128GB,12690000,iPhone (Apple),Smartphone,iOS 17,,,4.9,52853,True,https://www.thegioididong.com/dtdd/iphone-14,TGDD,09/2022,2025-08-27 21:51:54
323563,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,5480000,Samsung,Smartphone,Android 14,,,4.9,32539,True,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g,TGDD,06/2024,2025-08-27 21:51:54
340258,Điện thoại OPPO A5i 4GB/128GB,3690000,OPPO,Smartphone,Android 14,,,5.0,1121,True,https://www.thegioididong.com/dtdd/oppo-a5i-4gb-128gb,TGDD,07/2025,2025-08-27 21:51:54
333363,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,17790000,Samsung,Smartphone,Android 15,,,4.9,3953,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,TGDD,01/2025,2025-08-27 21:51:54
329141,Điện thoại iPhone 16 Plus 512GB,31290000,iPhone (Apple),Smartphone,iOS 18,,,5.0,384,True,https://www.thegioididong.com/dtdd/iphone-16-plus-512gb,TGDD,09/2024,2025-08-27 21:51:54
336409,Điện thoại Masstel S9 6GB/256GB,2940000,Masstel,Smartphone,Android 14,,,4.9,1733,True,https://www.thegioididong.com/dtdd/masstel-s9,TGDD,04/2025,2025-08-27 21:51:54
329330,Điện thoại realme Note 60 6GB/128GB,3230000,realme,Smartphone,Android 14,,,4.9,22601,True,https://www.thegioididong.com/dtdd/realme-note-60,TGDD,09/2024,2025-08-27 21:51:54
340260,Điện thoại realme Note 70 4GB/64GB,3090000,realme,Smartphone,Android 15,,,,,True,https://www.thegioididong.com/dtdd/realme-note-70-4gb-64gb,TGDD,08/2025,2025-08-27 21:51:54
335792,Điện thoại HONOR X8c 8GB/256GB,6500000,HONOR,Smartphone,Android 15,,,4.9,3344,True,https://www.thegioididong.com/dtdd/honor-x8c,TGDD,04/2025,2025-08-27 21:51:54
336702,Điện thoại vivo V50 Lite 8GB/256GB,8830000,vivo,Smartphone,Android 15,,,4.9,8843,True,https://www.thegioididong.com/dtdd/vivo-v50-lite,TGDD,05/2025,2025-08-27 21:51:54
326049,"Laptop HP 245 G10 - A20TDPT (R5 7530U, 8GB, 512GB, Full HD, Win11)",12190000,HP,Laptop,Windows 11 Home SL,AMD Ryzen 5 - 7530U,Card tích hợp - AMD Radeon Graphics,4.9,5921,True,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,TGDD,2024,2025-08-27 21:51:54
335362,Laptop MacBook Air 13 inch M4 16GB/256GB,24290000,MacBook,Laptop,macOS Sequoia,Apple M4 - Hãng không công bố,Card tích hợp - 8 nhân GPU,4.9,3466,True,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb,TGDD,03/2025,2025-08-27 21:51:54
329151,Điện thoại iPhone 16 Pro Max 1TB,42690000,iPhone (Apple),Smartphone,iOS 18,,,5.0,8083,True,https://www.thegioididong.com/dtdd/iphone-16-pro-max-1tb,TGDD,09/2024,2025-08-27 21:51:54
334932,Điện thoại Samsung Galaxy A56 5G 12GB/256GB,11480000,Samsung,Smartphone,Android 15,,,4.9,30362,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a56,TGDD,03/2025,2025-08-27 21:51:54
329328,Điện thoại realme Note 60 4GB/64GB,2540000,realme,Smartphone,Android 14,,,5.0,1827,True,https://www.thegioididong.com/dtdd/realme-note-60-4gb-64gb,TGDD,09/2024,2025-08-27 21:51:54
329136,Điện thoại iPhone 16 256GB,21890000,iPhone (Apple),Smartphone,iOS 18,,,4.9,6244,True,https://www.thegioididong.com/dtdd/iphone-16-256gb,TGDD,09/2024,2025-08-27 21:51:54
