id,name,onsale_price,brand,category,os,cpu/chipset,gpu,ram,storage,rating,reviews_count,is_new,url,retailer,created_at,updated_at
335176,Điện thoại Samsung Galaxy A56 5G 8GB/256GB,10490000,Samsung,Smartphone,Android 15,Exynos 1580 8 nhân,,8 GB,256 GB,4.9,47536,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a56-8gb-256gb,TGDD,03/2025,2025-08-28 22:40:39
329785,Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB,14060000,Samsung,Smartphone,Android 14,Exynos 2400e 8 nhân,,8 GB,256 GB,4.9,31805,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe-8gb-256gb,TGDD,09/2024,2025-08-28 22:40:39
329141,Điện thoại iPhone 16 Plus 512GB,31290000,iPhone (Apple),Smartphone,iOS 18,Apple A18 6 nhân,,8 GB,512 GB,5.0,384,True,https://www.thegioididong.com/dtdd/iphone-16-plus-512gb,TGDD,09/2024,2025-08-28 22:40:39
333280,Điện thoại realme Note 60x 3GB/64GB,2650000,realme,Smartphone,Android 14,Unisoc Tiger T612,,3 GB,64 GB,5.0,6725,True,https://www.thegioididong.com/dtdd/realme-note-60x,TGDD,01/2025,2025-08-28 22:40:39
339244,Điện thoại HONOR 400 5G 12GB/512GB,14030000,HONOR,Smartphone,Android 15,Snapdragon 7 Gen 3 8 nhân,,12 GB,512 GB,5.0,170,True,https://www.thegioididong.com/dtdd/honor-400-512gb,TGDD,06/2025,2025-08-28 22:40:39
337842,"Laptop GIGABYTE Gaming G6 MF RC56 - 9RC56MF0HJIIXIVN000 (i7 13620H, 16GB, 512GB, RTX 4050 6GB, WUXGA 165Hz, Win11)",23290000,GIGABYTE,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB DDR5 (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",5.0,50,True,https://www.thegioididong.com/laptop/gigabyte-g6-mf-rc56-i7-9rc56mf0hjiixivn000,TGDD,2024,2025-08-28 22:40:39
325247,"Laptop Dell Inspiron 15 3530 - P16WD (i7 1355U, 16GB, 1TB, Full HD 120Hz, OfficeHS, Win11)",21990000,Dell,Laptop,Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,Intel Core i7 Raptor Lake - 1355U,Intel Iris Xe Graphics,16 GB DDR4 (8 GB onboard + 1 khe 8 GB) 2666 MHz,1 TB SSD M.2 PCIe,4.9,2180,True,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-p16wd,TGDD,2024,2025-08-28 22:40:39
331205,Điện thoại Samsung Galaxy A16 5G 8GB/128GB,5380000,Samsung,Smartphone,Android 14,MediaTek Dimensity 6300 5G 8 nhân,,8 GB,128 GB,4.9,5177,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g-8gb-128gb,TGDD,11/2024,2025-08-28 22:40:39
337041,"Laptop HP Pavilion 16 af0052TU - AY8C1PA (Ultra 7 155U, 16GB, 1TB, WUXGA, OfficeHS+365, Win11)",23190000,HP,Laptop,Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,Intel Core Ultra 7 Meteor Lake - 155U,Card tích hợp - Intel Graphics,16 GB LPDDR5 (Onboard) 7467 MHz,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",5.0,80,True,https://www.thegioididong.com/laptop/hp-pavilion-16-af0052tu-ultra-7-ay8c1pa,TGDD,2024,2025-08-28 22:40:39
333102,"Laptop Dell Inspiron 15 3520 - N3520-i7U165W11BLU-FP (i7 1255U, 16GB, 512GB, Full HD 120Hz, OfficeHS, Win11)",18990000,Dell,Laptop,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,Intel Core i7 Alder Lake - 1255U,Intel Iris Xe Graphics,16 GB DDR4 (1 khe 8 GB + 1 khe 8 GB) 2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))",5.0,958,True,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-n3520i7u165w11blufp,TGDD,2024,2025-08-28 22:40:39
